submitted (unix timestamp),r1m1,r1m1Games,r1m2,r1m2Games,r1m3,r1m3Games,r1m4,r1m4Games,r1m5,r1m5Games,r1m6,r1m6Games,r1m7,r1m7Games,r1m8,r1m8Games,r2m1,r2m2,r2m3,r2m4,r3m1,r3m2,r4m1,SCF goals
1554665143,TBL,5,BOS,5,CAR,7,NYI,6,CGY,5,VGK,6,NSH,6,WPG,5,BOS,NYI,CGY,WPG,BOS,CGY,BOS,25
1554665144,TBL,5,BOS,5,WSH,6,PIT,7,CGY,5,VGK,7,NSH,6,STL,7,TBL,WSH,CGY,STL,TBL,CGY,TBL,24
1554665146,TBL,5,TOR,6,WSH,6,PIT,6,CGY,7,VGK,6,NSH,6,STL,6,TBL,WSH,VGK,STL,TBL,STL,TBL,22
1554665147,TBL,5,BOS,6,WSH,7,PIT,6,CGY,6,SJS,5,NSH,4,WPG,5,TBL,WSH,CGY,WPG,TBL,CGY,TBL,44
1554665147,TBL,4,TOR,6,WSH,6,PIT,6,CGY,4,SJS,6,DAL,5,WPG,6,TBL,PIT,SJS,WPG,TBL,SJS,TBL,88
1554665149,TBL,4,TOR,7,WSH,5,PIT,6,COL,6,VGK,5,NSH,4,WPG,5,TOR,WSH,COL,NSH,TOR,COL,TOR,35
1554665150,TBL,5,TOR,6,WSH,6,NYI,7,CGY,6,SJS,7,NSH,6,WPG,6,TBL,WSH,CGY,NSH,TBL,NSH,TBL,31
1554665152,TBL,5,TOR,7,WSH,5,NYI,7,COL,6,SJS,6,NSH,6,STL,7,TBL,NYI,COL,NSH,TBL,COL,COL,45
1554665153,TBL,5,TOR,6,WSH,6,PIT,7,CGY,7,VGK,7,NSH,4,WPG,6,TBL,WSH,CGY,WPG,TBL,WPG,WPG,18
1554665156,TBL,6,BOS,6,WSH,5,PIT,5,CGY,5,SJS,6,NSH,6,WPG,5,BOS,WSH,CGY,WPG,BOS,CGY,BOS,32
1554665156,TBL,4,TOR,7,WSH,4,PIT,6,CGY,6,SJS,5,NSH,7,WPG,5,TOR,WSH,SJS,WPG,TOR,WPG,TOR,18
1554665157,TBL,4,BOS,6,WSH,5,PIT,7,CGY,5,SJS,7,NSH,7,STL,6,TBL,WSH,CGY,STL,TBL,CGY,CGY,30
1554665157,CBJ,6,BOS,5,WSH,4,PIT,6,COL,6,SJS,6,NSH,5,WPG,7,CBJ,PIT,SJS,NSH,CBJ,NSH,CBJ,56
1554665158,TBL,5,BOS,6,WSH,5,PIT,5,COL,6,SJS,7,NSH,6,WPG,7,TBL,PIT,SJS,WPG,PIT,SJS,PIT,33
1554665163,TBL,4,TOR,7,WSH,5,NYI,7,CGY,5,VGK,6,DAL,6,STL,5,TOR,NYI,CGY,STL,TOR,CGY,TOR,34
1554665166,TBL,4,BOS,4,WSH,6,PIT,6,CGY,5,VGK,6,DAL,4,WPG,5,TBL,PIT,CGY,WPG,TBL,CGY,TBL,22
1554665167,TBL,5,BOS,7,WSH,5,PIT,6,CGY,6,SJS,7,NSH,6,WPG,7,TBL,WSH,SJS,WPG,TBL,SJS,TBL,35
1554665168,TBL,4,BOS,6,WSH,6,PIT,7,CGY,5,VGK,5,NSH,6,STL,7,TBL,WSH,CGY,STL,TBL,STL,TBL,43
1554665169,TBL,5,BOS,6,WSH,6,PIT,7,CGY,5,VGK,6,NSH,5,WPG,4,TBL,WSH,CGY,WPG,TBL,CGY,TBL,24
1554665169,TBL,5,BOS,6,CAR,7,PIT,4,CGY,6,SJS,7,NSH,5,STL,7,BOS,PIT,CGY,STL,BOS,CGY,BOS,42
1554665169,TBL,4,BOS,6,CAR,7,PIT,6,CGY,6,VGK,5,DAL,6,STL,5,TBL,PIT,VGK,STL,TBL,VGK,TBL,45
1554665170,TBL,4,BOS,6,WSH,5,NYI,7,CGY,6,VGK,6,NSH,5,WPG,5,TBL,WSH,CGY,NSH,TBL,CGY,TBL,32
1554665172,TBL,4,TOR,7,WSH,5,PIT,5,CGY,6,VGK,5,NSH,5,STL,7,TBL,WSH,CGY,NSH,WSH,NSH,WSH,38
1554665172,TBL,5,BOS,4,CAR,5,NYI,7,COL,6,VGK,6,NSH,6,WPG,5,TBL,CAR,VGK,NSH,CAR,NSH,CAR,35
1554665174,TBL,5,BOS,6,WSH,6,NYI,7,CGY,5,VGK,5,NSH,6,WPG,6,TBL,NYI,CGY,NSH,TBL,CGY,TBL,28
1554665175,TBL,5,TOR,6,WSH,4,NYI,7,CGY,6,SJS,5,NSH,7,WPG,5,TOR,WSH,SJS,WPG,TOR,SJS,TOR,30
1554665175,TBL,4,BOS,7,WSH,6,NYI,7,CGY,6,VGK,5,NSH,6,WPG,5,TBL,WSH,VGK,WPG,WSH,VGK,VGK,50
1554665176,TBL,4,BOS,6,WSH,6,PIT,5,CGY,5,SJS,6,NSH,5,WPG,7,TBL,PIT,SJS,NSH,PIT,SJS,SJS,22
1554665178,TBL,5,BOS,6,WSH,6,NYI,7,COL,7,VGK,6,NSH,5,STL,4,TBL,WSH,VGK,STL,TBL,STL,TBL,31
1554665178,TBL,5,BOS,6,CAR,7,PIT,5,CGY,4,VGK,5,NSH,5,WPG,5,TBL,PIT,VGK,NSH,TBL,VGK,VGK,36
1554665178,TBL,5,BOS,6,WSH,4,PIT,6,COL,5,VGK,4,NSH,4,STL,7,TBL,WSH,VGK,NSH,TBL,NSH,TBL,22
1554665179,TBL,6,BOS,5,WSH,6,PIT,6,CGY,6,SJS,7,NSH,5,WPG,7,TBL,PIT,SJS,NSH,TBL,SJS,TBL,37
1554665181,TBL,5,BOS,7,WSH,6,NYI,7,COL,6,SJS,6,NSH,5,WPG,7,TBL,NYI,SJS,WPG,TBL,SJS,SJS,39
1554665181,TBL,4,BOS,7,WSH,6,PIT,7,CGY,5,SJS,7,NSH,5,STL,7,TBL,WSH,SJS,STL,TBL,SJS,TBL,35
1554665183,TBL,5,TOR,6,WSH,6,PIT,7,CGY,6,SJS,7,NSH,6,WPG,6,TBL,PIT,SJS,NSH,TBL,SJS,TBL,24
1554665185,TBL,5,TOR,7,WSH,5,PIT,6,CGY,6,SJS,7,NSH,5,STL,7,TBL,WSH,SJS,STL,TBL,STL,TBL,39
1554665185,TBL,5,TOR,6,WSH,4,NYI,7,CGY,6,SJS,5,NSH,5,STL,5,TBL,WSH,CGY,STL,WSH,STL,WSH,31
1554665185,TBL,5,BOS,6,WSH,5,PIT,5,CGY,6,SJS,5,NSH,5,STL,5,TBL,WSH,CGY,NSH,WSH,NSH,WSH,20
